경기도 부천시 원미구,273,358,176,259,458,27,137,772,96,138,161
경기도 부천시 소사구,251,67,66,88,201,11,46,299,43,47,79
경기도 부천시 오정구,192,43,54,81,175,6,36,266,17,55,83
경기도 광명시,2387,133,58,132,279,14,72,480,64,72,100
경기도 평택시,654,221,103,311,478,37,124,798,86,161,130
경기도 동두천시,191,42,41,66,102,8,26,129,19,44,31
경기도 안산시 상록구,360,109,68,217,354,19,99,528,65,86,153
경기도 안산시 단원구,287,211,79,230,321,17,94,489,65,109,130
경기도 고양시 덕양구,390,171,82,172,329,12,86,503,63,66,121
경기도 고양시 일산동구,245,415,96,224,298,28,102,555,73,107,80
경기도 고양시 일산서구,192,171,50,136,236,18,62,414,73,76,46
경기도 과천시,1297,50,12,43,40,8,19,105,10,13,1
경기도 구리시,1980,131,58,117,168,12,63,298,41,65,79
경기도 남양주시,756,310,97,307,476,29,145,864,98,131,83
경기도 오산시,288,71,37,127,216,11,59,293,34,65,46
경기도 시흥시,664,137,93,265,433,22,109,684,63,109,171
경기도 군포시,1010,153,45,110,252,11,65,372,54,70,71
경기도 의왕시,968,88,18,55,125,6,35,227,33,36,31
경기도 하남시,601,90,38,74,144,5,31,265,24,45,40
경기도 용인시 처인구,276,104,28,222,208,9,78,351,42,90,35
경기도 용인시 기흥구,233,281,42,169,273,17,106,535,77,82,40
경기도 용인시 수지구,175,220,45,119,224,23,67,560,78,65,37
경기도 파주시,543,235,86,292,383,25,117,551,71,132,77
경기도 이천시,397,101,32,177,231,10,77,346,38,92,45
경기도 안성시,323,125,38,184,205,8,53,254,40,72,37
경기도 김포시,684,122,71,176,276,14,87,551,54,89,60
경기도 화성시,524,299,104,450,537,49,174,1073,87,188,65
경기도 광주시,333,149,46,204,260,8,59,443,49,97,51
경기도 양주시,592,68,37,165,186,11,53,266,32,70,25
경기도 포천시,205,64,31,186,197,10,48,189,26,95,35
경기도 여주시,233,47,33,83,128,8,15,191,23,50,19
경기도 연천군,133,8,11,32,61,2,21,100,10,29,16
경기도 가평군,161,64,22,73,81,8,24,124,9,36,11
경기도 양평군,229,98,22,83,101,6,26,290,17,46,11
강원도 춘천시,484,320,110,245,392,27,95,371,74,179,74
강원도 원주시,616,358,98,256,391,22,90,463,87,183,68
강원도 강릉시,342,311,93,214,253,13,56,170,66,158,66
강원도 동해시,134,78,35,75,135,7,30,37,23,61,28
강원도 태백시,126,27,23,38,71,2,11,10,8,27,11
강원도 속초시,140,113,33,104,131,5,19,76,36,57,27
강원도 삼척시,173,54,21,70,101,2,17,43,19,34,27
강원도 홍천군,196,42,14,44,89,4,15,135,16,47,9
강원도 횡성군,137,20,7,28,52,3,11,93,8,23,4
강원도 영월군,141,29,12,23,44,1,10,42,9,29,3
강원도 평창군,108,31,9,61,79,6,22,118,13,27,6
강원도 정선군,129,26,13,44,64,5,13,32,9,29,8
강원도 철원군,148,19,13,32,77,4,21,59,12,36,21
강원도 화천군,79,10,4,20,52,3,17,27,6,28,18
강원도 양구군,58,12,9,19,36,3,10,28,4,15,8
